Candidate,Feature_Set,Repeat,Fold,Train_Accuracy,Validation_Accuracy,Validation_Precision,Validation_Recall,Validation_F1,Validation_ROC_AUC,Fit_Time_Seconds,Score_Time_Seconds
Clinical Logistic Regression,Clinical,10,2,0.9736842105263158,0.9,0.8,1.0,0.8888888888888888,1.0,0.011826515197753906,0.015915393829345703
Clinical Logistic Regression,Clinical,10,3,1.0,0.8,0.75,0.75,0.75,0.75,0.011929035186767578,0.014952659606933594
Clinical Logistic Regression,Clinical,10,4,1.0,0.4444444444444444,0.42857142857142855,0.75,0.5454545454545454,0.5,0.01305699348449707,0.014252662658691406
Clinical Logistic Regression,Clinical,10,5,1.0,0.6666666666666666,1.0,0.25,0.4,0.65,0.012784481048583984,0.014332056045532227
Clinical Random Forest,Clinical,1,1,1.0,0.8,0.75,0.75,0.75,0.8333333333333334,0.3044309616088867,0.09788036346435547
Clinical Random Forest,Clinical,1,2,1.0,0.3,0.2,0.25,0.2222222222222222,0.5,0.30175137519836426,0.09747934341430664
Clinical Random Forest,Clinical,1,3,1.0,0.8,0.6666666666666666,1.0,0.8,0.6875,0.29729723930358887,0.09753775596618652
Clinical Random Forest,Clinical,1,4,1.0,0.7777777777777778,0.75,0.75,0.75,0.9500000000000001,0.2958695888519287,0.10077905654907227
Clinical Random Forest,Clinical,1,5,1.0,0.7777777777777778,0.75,0.75,0.75,0.85,0.2899918556213379,0.09790587425231934
Clinical Random Forest,Clinical,2,1,1.0,0.6,0.5,1.0,0.6666666666666666,0.7083333333333334,0.3013591766357422,0.09793496131896973
Clinical Random Forest,Clinical,2,2,1.0,0.5,0.3333333333333333,0.25,0.2857142857142857,0.7083333333333333,0.3064908981323242,0.09586405754089355
Clinical Random Forest,Clinical,2,3,1.0,0.6,0.5,0.5,0.5,0.6666666666666667,0.31215929985046387,0.09758758544921875
Clinical Random Forest,Clinical,2,4,1.0,1.0,1.0,1.0,1.0,1.0,0.3264353275299072,0.09836888313293457
Clinical Random Forest,Clinical,2,5,1.0,0.8888888888888888,0.8,1.0,0.8888888888888888,0.8,0.31546950340270996,0.10113930702209473
Clinical Random Forest,Clinical,3,1,1.0,0.6,0.5,0.25,0.3333333333333333,0.75,0.31211090087890625,0.10392308235168457
Clinical Random Forest,Clinical,3,2,1.0,0.8,0.6666666666666666,1.0,0.8,0.8541666666666667,0.30407142639160156,0.09681510925292969
Clinical Random Forest,Clinical,3,3,1.0,0.8,0.75,0.75,0.75,0.8333333333333334,0.29769039154052734,0.09512567520141602
Clinical Random Forest,Clinical,3,4,1.0,0.6666666666666666,0.6666666666666666,0.5,0.5714285714285714,0.9,0.3053462505340576,0.0988156795501709
Clinical Random Forest,Clinical,3,5,1.0,0.6666666666666666,0.6,0.75,0.6666666666666666,0.7000000000000001,0.31088709831237793,0.10073637962341309
Clinical Random Forest,Clinical,4,1,1.0,0.7,0.5714285714285714,1.0,0.7272727272727273,0.875,0.31379103660583496,0.09835171699523926
Clinical Random Forest,Clinical,4,2,1.0,0.8,0.75,0.75,0.75,0.8333333333333334,0.32276320457458496,0.10441708564758301
Clinical Random Forest,Clinical,4,3,1.0,0.9,1.0,0.75,0.8571428571428571,0.9583333333333334,0.33449840545654297,0.10007715225219727
Clinical Random Forest,Clinical,4,4,1.0,0.5555555555555556,0.5,0.5,0.5,0.75,0.3208465576171875,0.15854310989379883
Clinical Random Forest,Clinical,4,5,1.0,0.7777777777777778,0.75,0.75,0.75,0.9,0.3151895999908447,0.09909844398498535
Clinical Random Forest,Clinical,5,1,1.0,0.8,1.0,0.5,0.6666666666666666,0.9583333333333334,0.319490909576416,0.09944319725036621
Clinical Random Forest,Clinical,5,2,1.0,0.4,0.3333333333333333,0.5,0.4,0.5,0.32120347023010254,0.0980372428894043
Clinical Random Forest,Clinical,5,3,1.0,0.8,0.75,0.75,0.75,0.9375,0.3233163356781006,0.1006162166595459
Clinical Random Forest,Clinical,5,4,1.0,0.8888888888888888,0.8,1.0,0.8888888888888888,0.9,0.30571866035461426,0.09690284729003906
Clinical Random Forest,Clinical,5,5,1.0,0.6666666666666666,0.6666666666666666,0.5,0.5714285714285714,0.8500000000000001,0.3138008117675781,0.09409451484680176
Clinical Random Forest,Clinical,6,1,1.0,0.4,0.3333333333333333,0.5,0.4,0.5416666666666667,0.31270313262939453,0.09947443008422852
Clinical Random Forest,Clinical,6,2,1.0,0.8,0.75,0.75,0.75,0.875,0.31254053115844727,0.09849023818969727
Clinical Random Forest,Clinical,6,3,1.0,0.9,1.0,0.75,0.8571428571428571,1.0,0.3117790222167969,0.10362792015075684
Clinical Random Forest,Clinical,6,4,1.0,0.8888888888888888,1.0,0.75,0.8571428571428571,0.9500000000000001,0.3142712116241455,0.09906268119812012
Clinical Random Forest,Clinical,6,5,1.0,0.5555555555555556,0.5,0.75,0.6,0.6,0.31939220428466797,0.09943079948425293
Clinical Random Forest,Clinical,7,1,1.0,0.7,0.6666666666666666,0.5,0.5714285714285714,0.7083333333333334,0.4436197280883789,0.21048331260681152
Clinical Random Forest,Clinical,7,2,1.0,0.7,0.6,0.75,0.6666666666666666,0.7916666666666667,0.29935693740844727,0.08834147453308105
Clinical Random Forest,Clinical,7,3,1.0,0.7,0.6666666666666666,0.5,0.5714285714285714,0.9166666666666667,0.298184871673584,0.09887218475341797
Clinical Random Forest,Clinical,7,4,1.0,0.7777777777777778,0.6666666666666666,1.0,0.8,0.75,0.30226659774780273,0.09641575813293457
Clinical Random Forest,Clinical,7,5,1.0,0.8888888888888888,0.8,1.0,0.8888888888888888,0.9,0.3055849075317383,0.09072041511535645
Clinical Random Forest,Clinical,8,1,1.0,0.9,0.8,1.0,0.8888888888888888,1.0,0.300922155380249,0.09589076042175293
Clinical Random Forest,Clinical,8,2,1.0,0.9,0.8,1.0,0.8888888888888888,0.875,0.3028547763824463,0.09673643112182617
Clinical Random Forest,Clinical,8,3,1.0,0.7,0.6,0.75,0.6666666666666666,0.7083333333333334,0.29537320137023926,0.09623336791992188
Clinical Random Forest,Clinical,8,4,1.0,0.3333333333333333,0.25,0.25,0.25,0.5,0.3028430938720703,0.09726905822753906
Clinical Random Forest,Clinical,8,5,1.0,0.5555555555555556,0.5,0.5,0.5,0.75,0.30526208877563477,0.09537363052368164
Clinical Random Forest,Clinical,9,1,1.0,0.9,0.8,1.0,0.8888888888888888,0.9583333333333334,0.30528736114501953,0.09682369232177734
Clinical Random Forest,Clinical,9,2,1.0,0.6,0.5,0.75,0.6,0.6666666666666667,0.2886331081390381,0.09720802307128906
Clinical Random Forest,Clinical,9,3,1.0,0.8,0.6666666666666666,1.0,0.8,1.0,0.2943880558013916,0.09802460670471191
Clinical Random Forest,Clinical,9,4,1.0,0.5555555555555556,0.5,0.5,0.5,0.75,0.31156349182128906,0.1012723445892334
Clinical Random Forest,Clinical,9,5,1.0,0.6666666666666666,0.6666666666666666,0.5,0.5714285714285714,0.8,0.31572651863098145,0.0957953929901123
