Candidate,Feature_Set,Model_Stage,Repeat,Fold,Train_Accuracy,Validation_Accuracy,Validation_Precision,Validation_Recall,Validation_F1,Validation_ROC_AUC,Fit_Time_Seconds,Score_Time_Seconds
Clinical Support Vector Machine,Clinical,Tuned,6,3,0.5789473684210527,0.6,0.0,0.0,0.0,1.0,0.008715152740478516,0.016597270965576172
Clinical Support Vector Machine,Clinical,Tuned,6,4,0.41025641025641024,0.4444444444444444,0.4444444444444444,1.0,0.6153846153846154,0.8500000000000001,0.009289026260375977,0.016180992126464844
Clinical Support Vector Machine,Clinical,Tuned,6,5,0.41025641025641024,0.4444444444444444,0.4444444444444444,1.0,0.6153846153846154,0.7,0.009686708450317383,0.017154455184936523
Clinical Support Vector Machine,Clinical,Tuned,7,1,0.5789473684210527,0.6,0.0,0.0,0.0,0.75,0.008764505386352539,0.015475273132324219
Clinical Support Vector Machine,Clinical,Tuned,7,2,0.5789473684210527,0.6,0.0,0.0,0.0,0.8333333333333334,0.009076118469238281,0.014775991439819336
Clinical Support Vector Machine,Clinical,Tuned,7,3,0.5789473684210527,0.6,0.0,0.0,0.0,0.875,0.00905156135559082,0.014509201049804688
Clinical Support Vector Machine,Clinical,Tuned,7,4,0.41025641025641024,0.4444444444444444,0.4444444444444444,1.0,0.6153846153846154,0.75,0.009327173233032227,0.01724553108215332
Clinical Support Vector Machine,Clinical,Tuned,7,5,0.41025641025641024,0.4444444444444444,0.4444444444444444,1.0,0.6153846153846154,0.8500000000000001,0.008998394012451172,0.016497135162353516
Clinical Support Vector Machine,Clinical,Tuned,8,1,0.5789473684210527,0.6,0.0,0.0,0.0,0.9583333333333334,0.00890660285949707,0.015779972076416016
Clinical Support Vector Machine,Clinical,Tuned,8,2,0.5789473684210527,0.6,0.0,0.0,0.0,0.875,0.008982658386230469,0.015609979629516602
Clinical Support Vector Machine,Clinical,Tuned,8,3,0.5789473684210527,0.6,0.0,0.0,0.0,0.7500000000000001,0.008325338363647461,0.015227317810058594
Clinical Support Vector Machine,Clinical,Tuned,8,4,0.41025641025641024,0.4444444444444444,0.4444444444444444,1.0,0.6153846153846154,0.55,0.009018421173095703,0.014785528182983398
Clinical Support Vector Machine,Clinical,Tuned,8,5,0.41025641025641024,0.4444444444444444,0.4444444444444444,1.0,0.6153846153846154,0.8,0.00901484489440918,0.017007827758789062
Clinical Support Vector Machine,Clinical,Tuned,9,1,0.5789473684210527,0.6,0.0,0.0,0.0,0.9166666666666667,0.009619712829589844,0.018666505813598633
Clinical Support Vector Machine,Clinical,Tuned,9,2,0.5789473684210527,0.6,0.0,0.0,0.0,0.6666666666666667,0.009321928024291992,0.01665973663330078
Clinical Support Vector Machine,Clinical,Tuned,9,3,0.5789473684210527,0.6,0.0,0.0,0.0,1.0,0.009297609329223633,0.016016721725463867
